0,0,0,0,3,1,2,1,1,13,5620
0,0,0,0,0,0,2,0,4,0,5030
0,0,0,0,0,0,0,0,0,0,5340
0,0,1,1,2,6,3,10,9,2,10000
0,0,0,0,0,0,0,3,16,13,5090
0,0,0,0,0,0,5,4,21,12,6120
0,0,0,0,0,0,3,0,13,9,5809
0,0,0,0,1,4,6,11,1,5,2440
0,0,0,0,0,0,1,2,12,18,4940
0,0,0,0,1,0,8,5,8,9,5910
0,0,0,0,0,0,0,0,9,8,5380
0,0,0,0,0,0,0,2,14,13,5000
2,0,1,4,8,2,2,1,0,0,10000
0,0,0,0,1,2,7,3,7,6,4520
0,1,2,2,4,2,5,1,3,2,0
0,0,1,0,1,4,1,5,3,1,10000
0,0,2,1,1,1,0,1,2,1,10000
0,0,0,1,3,2,1,0,1,0,5000
0,0,0,0,0,1,10,6,10,5,6220
0,0,0,0,0,3,1,2,12,10,4900
0,0,0,0,4,4,5,1,0,0,5030
0,0,1,0,2,1,4,8,7,4,10000
0,0,0,0,3,1,4,10,8,11,5090
0,0,0,0,2,2,6,3,4,9,4960
0,0,0,0,0,0,2,3,16,13,5200
0,0,0,0,1,1,4,0,1,0,5620
0,0,0,2,1,2,2,2,0,1,0
0,0,0,0,0,0,0,1,8,11,4890
1,1,2,1,1,4,3,2,0,0,0
0,0,0,0,0,1,7,7,6,14,4450
0,0,0,0,0,0,6,4,5,19,5000
0,0,0,0,0,1,4,4,15,10,5220
0,0,1,0,2,2,2,8,9,10,10000
0,0,0,0,0,2,5,3,4,6,4100
0,0,1,1,0,0,0,0,0,0,10000
0,0,0,0,0,1,2,2,9,13,5230
0,0,0,0,0,1,1,0,0,0,5000
0,0,0,0,2,1,5,7,7,3,4900
0,0,0,0,1,1,10,3,4,8,5600
0,0,0,0,0,0,1,0,11,11,5650
2,1,1,1,0,1,1,0,1,0,10000
0,0,2,2,1,0,1,0,1,0,10000
0,0,0,0,0,1,4,3,15,17,4830
0,0,2,0,3,2,7,4,5,1,10000
0,0,0,0,0,0,0,0,5,5,5260
0,0,1,1,5,0,6,1,9,4,10000
0,0,0,0,0,0,2,2,17,7,5850
0,0,0,0,0,0,6,1,18,12,6420
0,0,0,0,0,2,6,4,9,10,4530
0,1,3,0,0,3,1,2,0,0,0
0,0,0,0,0,1,5,3,12,7,5520
2,1,2,1,0,0,0,0,0,0,10000
0,0,0,0,0,0,0,1,11,16,5090
